Country,Count_median
Armenia,100.0
Belarus,100.0
Bosnia and Herzegovina,100.0
Bulgaria,100.0
Croatia,100.0
Czechia,100.0
Denmark,100.0
Estonia,100.0
Finland,100.0
France,880.0
Georgia,100.0
Germany,880.0
Hungary,100.0
Iceland,100.0
Ireland,100.0
Israel,100.0
Italy,1200.0
Kazakhstan,100.0
Kyrgyzstan,100.0
Latvia,100.0
Luxembourg,100.0
Montenegro,100.0
Netherlands,200.0
Norway,100.0
Portugal,1100.0
Republic of Moldova,500.0
Republic of North Macedonia,100.0
Romania,500.0
Serbia,200.0
Slovakia,100.0
Slovenia,100.0
Spain,1800.0
Tajikistan,100.0
Ukraine,4500.0
Uzbekistan,840.0
